company_id: emni
company_name: 이엠앤아이
doc_title: 2024_재무_OFS.json
source_url: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2024_재무_OFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2024_재무_OFS.json

# DART financial statement (2024_재무_OFS.json, year=2024)

## 재무상태표
- statement=재무상태표 | account=매입채무 | account_id=dart_ShortTermTradePayables | 제 26 기=3,034,245,683 KRW | 제 25 기=2,680,479,177 KRW | 제 24 기=3,330,970,855 KRW
- statement=재무상태표 | account=계약부채 | account_id=ifrs-full_CurrentContractLiabilities | 제 26 기=14,042,702 KRW | 제 25 기=53,466,666 KRW | 제 24 기=41,000,000 KRW
- statement=재무상태표 | account=유동 리스부채 | account_id=ifrs-full_CurrentLeaseLiabilities | 제 26 기=186,011,866 KRW | 제 25 기=298,280,436 KRW | 제 24 기=232,708,624 KRW
- statement=재무상태표 | account=충당부채 | account_id=ifrs-full_CurrentProvisions | 제 26 기=77,971,074 KRW | 제 25 기=56,854,262 KRW | 제 24 기=620,173,043 KRW
- statement=재무상태표 | account=당기법인세부채 | account_id=ifrs-full_CurrentTaxLiabilities | 제 26 기=- KRW | 제 25 기=22,626,610 KRW | 제 24 기=74,176,152 KRW
- statement=재무상태표 | account=기타 유동부채 | account_id=ifrs-full_OtherCurrentLiabilities | 제 26 기=368,876,021 KRW | 제 25 기=100,782,676 KRW | 제 24 기=127,890,968 KRW
- statement=재무상태표 | account=기타유동채무 | account_id=ifrs-full_TradeAndOtherCurrentPayables | 제 26 기=612,615,825 KRW | 제 25 기=820,590,309 KRW | 제 24 기=991,597,910 KRW
- statement=재무상태표 | account=부채총계 | account_id=ifrs-full_Liabilities | 제 26 기=8,640,911,229 KRW | 제 25 기=7,959,007,585 KRW | 제 24 기=7,113,488,072 KRW
- statement=재무상태표 | account=비유동부채 | account_id=ifrs-full_NoncurrentLiabilities | 제 26 기=740,502,715 KRW | 제 25 기=890,340,062 KRW | 제 24 기=496,925,463 KRW
- statement=재무상태표 | account=확정급여부채 | account_id=dart_PostemploymentBenefitObligations | 제 26 기=489,592,793 KRW | 제 25 기=447,876,561 KRW | 제 24 기=252,237,053 KRW
- statement=재무상태표 | account=이연법인세부채 | account_id=ifrs-full_DeferredTaxLiabilities | 제 26 기=- KRW | 제 25 기=1,115,310 KRW | 제 24 기=1,098,350 KRW
- statement=재무상태표 | account=비유동 리스부채 | account_id=ifrs-full_NoncurrentLeaseLiabilities | 제 26 기=54,370,392 KRW | 제 25 기=146,303,661 KRW | 제 24 기=152,900,441 KRW
- statement=재무상태표 | account=기타비유동채무 | account_id=ifrs-full_OtherNoncurrentFinancialLiabilities | 제 26 기=196,539,530 KRW | 제 25 기=295,044,530 KRW | 제 24 기=90,689,619 KRW

## 포괄손익계산서
- statement=포괄손익계산서 | account=영업이익(손실) | account_id=dart_OperatingIncomeLoss | 제 26 기=339,606,971 KRW | 제 25 기=-458094007 KRW | 제 24 기=688,619,290 KRW
- statement=포괄손익계산서 | account=판매비와관리비 | account_id=dart_TotalSellingGeneralAdministrativeExpenses | 제 26 기=4,181,990,792 KRW | 제 25 기=4,070,268,322 KRW | 제 24 기=4,270,316,267 KRW
- statement=포괄손익계산서 | account=기타영업외수익 | account_id=-표준계정코드 미사용- | 제 26 기=107,868,772 KRW | 제 25 기=798,023,198 KRW | 제 24 기=975,316,315 KRW
- statement=포괄손익계산서 | account=기타영업외비용 | account_id=-표준계정코드 미사용- | 제 26 기=18,208,326 KRW | 제 25 기=69,863,900 KRW | 제 24 기=601,618,617 KRW
- statement=포괄손익계산서 | account=총포괄손익 | account_id=ifrs-full_ComprehensiveIncome | 제 26 기=1,195,936,252 KRW | 제 25 기=-726188520 KRW | 제 24 기=-88439541 KRW
- statement=포괄손익계산서 | account=매출원가 | account_id=ifrs-full_CostOfSales | 제 26 기=25,177,457,342 KRW | 제 25 기=20,916,758,581 KRW | 제 24 기=29,514,044,103 KRW
- statement=포괄손익계산서 | account=기본및희석주당이익(손실) | account_id=ifrs-full_DilutedEarningsLossPerShare | 제 26 기=70 KRW | 제 25 기=-18 KRW | 제 24 기=-7 KRW
- statement=포괄손익계산서 | account=계속영업기본및희석주당이익(손실) | account_id=ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations | 제 26 기=85 KRW | 제 25 기=46 KRW | 제 24 기=-5 KRW
- statement=포괄손익계산서 | account=중단영업기본및희석주당이익(손실) | account_id=ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations | 제 26 기=-15 KRW | 제 25 기=-64 KRW | 제 24 기=-2 KRW
- statement=포괄손익계산서 | account=금융원가 | account_id=ifrs-full_FinanceCosts | 제 26 기=1,790,953,414 KRW | 제 25 기=1,008,004,046 KRW | 제 24 기=3,116,357,376 KRW
- statement=포괄손익계산서 | account=이자비용 | account_id=dart_InterestExpenseFinanceExpense | 제 26 기=748,778,897 KRW | 제 25 기=104,000,116 KRW | 제 24 기=401,371,746 KRW
- statement=포괄손익계산서 | account=외환차손 | account_id=dart_LossesOnForeignCurrencyTransactionsFiancialExpense | 제 26 기=554,759,014 KRW | 제 25 기=505,720,274 KRW | 제 24 기=1,130,594,084 KRW
- statement=포괄손익계산서 | account=외화환산손실 | account_id=dart_LossesOnForeignExchangeTranslationsFinancialExpense | 제 26 기=100,520,066 KRW | 제 25 기=60,969,804 KRW | 제 24 기=223,458,369 KRW
- statement=포괄손익계산서 | account=파생상품평가손실 | account_id=dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense | 제 26 기=386,895,437 KRW | 제 25 기=337,313,852 KRW | 제 24 기=1,360,933,177 KRW
- statement=포괄손익계산서 | account=금융수익 | account_id=ifrs-full_FinanceIncome | 제 26 기=3,179,901,161 KRW | 제 25 기=1,712,557,898 KRW | 제 24 기=1,959,121,420 KRW
- statement=포괄손익계산서 | account=외환차익 | account_id=dart_GainsOnForeignCurrencyTransactionsFiancialIncome | 제 26 기=843,239,265 KRW | 제 25 기=580,948,949 KRW | 제 24 기=1,159,951,875 KRW
- statement=포괄손익계산서 | account=외화환산이익 | account_id=dart_GainsOnForeignExchangeTranslationsFinancialIncome | 제 26 기=308,635,749 KRW | 제 25 기=20,129,734 KRW | 제 24 기=263,583,858 KRW
- statement=포괄손익계산서 | account=파생상품평가이익 | account_id=dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome | 제 26 기=1,681,736,937 KRW | 제 25 기=761,615,309 KRW | 제 24 기=464,814,348 KRW
- statement=포괄손익계산서 | account=이자수익 | account_id=dart_InterestIncomeFinanceIncome | 제 26 기=346,289,210 KRW | 제 25 기=203,818,483 KRW | 제 24 기=70,771,339 KRW
- statement=포괄손익계산서 | account=사채상환이익 | account_id=-표준계정코드 미사용- | 제 26 기=- KRW | 제 25 기=146,045,423 KRW | 제 24 기=- KRW
- statement=포괄손익계산서 | account=매출총이익 | account_id=ifrs-full_GrossProfit | 제 26 기=4,521,597,763 KRW | 제 25 기=3,612,174,315 KRW | 제 24 기=4,958,935,557 KRW
- statement=포괄손익계산서 | account=법인세비용(수익) | account_id=ifrs-full_IncomeTaxExpenseContinuingOperations | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=-3026367 KRW
