company_id: emni
company_name: 이엠앤아이
doc_title: 2023_재무_CFS.json
source_url: 
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2023_재무_CFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2023_재무_CFS.json

# DART financial statement (2023_재무_CFS.json, year=2023)

## 재무상태표
- statement=재무상태표 | account=매입채무 | account_id=dart_ShortTermTradePayables | 제 25 기=2,680,479,177 KRW | 제 24 기=3,330,970,855 KRW | 제 23 기=3,093,400,171 KRW
- statement=재무상태표 | account=계약부채 | account_id=ifrs-full_CurrentContractLiabilities | 제 25 기=53,466,666 KRW | 제 24 기=41,000,000 KRW | 제 23 기=67,100,000 KRW
- statement=재무상태표 | account=유동 리스부채 | account_id=ifrs-full_CurrentLeaseLiabilities | 제 25 기=298,280,436 KRW | 제 24 기=232,708,624 KRW | 제 23 기=294,407,596 KRW
- statement=재무상태표 | account=충당부채 | account_id=ifrs-full_CurrentProvisions | 제 25 기=56,854,262 KRW | 제 24 기=620,173,043 KRW | 제 23 기=1,754,555,737 KRW
- statement=재무상태표 | account=당기법인세부채 | account_id=ifrs-full_CurrentTaxLiabilities | 제 25 기=22,626,610 KRW | 제 24 기=74,176,152 KRW | 제 23 기=65,405,339 KRW
- statement=재무상태표 | account=기타 유동부채 | account_id=ifrs-full_OtherCurrentLiabilities | 제 25 기=100,782,676 KRW | 제 24 기=127,890,968 KRW | 제 23 기=119,183,462 KRW
- statement=재무상태표 | account=단기차입금 | account_id=ifrs-full_ShorttermBorrowings | 제 25 기=- KRW | 제 24 기=- KRW | 제 23 기=93,130,000 KRW
- statement=재무상태표 | account=기타유동채무 | account_id=ifrs-full_TradeAndOtherCurrentPayables | 제 25 기=820,590,309 KRW | 제 24 기=991,597,910 KRW | 제 23 기=821,214,434 KRW
- statement=재무상태표 | account=부채총계 | account_id=ifrs-full_Liabilities | 제 25 기=7,959,007,585 KRW | 제 24 기=7,113,488,072 KRW | 제 23 기=10,549,694,773 KRW
- statement=재무상태표 | account=비유동부채 | account_id=ifrs-full_NoncurrentLiabilities | 제 25 기=890,340,062 KRW | 제 24 기=496,925,463 KRW | 제 23 기=287,688,795 KRW
- statement=재무상태표 | account=기타비유동채무 | account_id=dart_LongTermTradeAndOtherNonCurrentPayables | 제 25 기=295,044,530 KRW | 제 24 기=90,689,619 KRW | 제 23 기=35,545,091 KRW
- statement=재무상태표 | account=확정급여부채 | account_id=dart_PostemploymentBenefitObligations | 제 25 기=447,876,561 KRW | 제 24 기=252,237,053 KRW | 제 23 기=199,398,834 KRW
- statement=재무상태표 | account=이연법인세부채 | account_id=ifrs-full_DeferredTaxLiabilities | 제 25 기=1,115,310 KRW | 제 24 기=1,098,350 KRW | 제 23 기=4,053,634 KRW
- statement=재무상태표 | account=비유동 리스부채 | account_id=ifrs-full_NoncurrentLeaseLiabilities | 제 25 기=146,303,661 KRW | 제 24 기=152,900,441 KRW | 제 23 기=48,691,236 KRW

## 포괄손익계산서
- statement=포괄손익계산서 | account=영업이익(손실) | account_id=dart_OperatingIncomeLoss | 제 25 기=-1290663885 KRW | 제 24 기=688,619,290 KRW | 제 23 기=-596354306 KRW
- statement=포괄손익계산서 | account=판매비와관리비 | account_id=dart_TotalSellingGeneralAdministrativeExpenses | 제 25 기=5,040,882,945 KRW | 제 24 기=4,270,316,267 KRW | 제 23 기=3,539,592,161 KRW
- statement=포괄손익계산서 | account=기타영업외수익 | account_id=-표준계정코드 미사용- | 제 25 기=831,555,426 KRW | 제 24 기=975,316,315 KRW | 제 23 기=1,388,686,829 KRW
- statement=포괄손익계산서 | account=기타영업외비용 | account_id=-표준계정코드 미사용- | 제 25 기=564,648,551 KRW | 제 24 기=601,618,617 KRW | 제 23 기=1,501,027,808 KRW
- statement=포괄손익계산서 | account=총포괄손익 | account_id=ifrs-full_ComprehensiveIncome | 제 25 기=-726188520 KRW | 제 24 기=-88439541 KRW | 제 23 기=-1207261517 KRW
- statement=포괄손익계산서 | account=지배기업의소유주지분 | account_id=-표준계정코드 미사용- | 제 25 기=-726188520 KRW | 제 24 기=-88439541 KRW | 제 23 기=-1207261517 KRW
- statement=포괄손익계산서 | account=매출원가 | account_id=ifrs-full_CostOfSales | 제 25 기=22,561,692,712 KRW | 제 24 기=29,514,044,103 KRW | 제 23 기=21,115,790,736 KRW
- statement=포괄손익계산서 | account=기본및희석주당이익(손실) | account_id=ifrs-full_BasicEarningsLossPerShare | 제 25 기=-18 KRW | 제 24 기=-7 KRW | 제 23 기=-123 KRW
- statement=포괄손익계산서 | account=계속영업기본및희석주당이익(손실) | account_id=-표준계정코드 미사용- | 제 25 기=-18 KRW | 제 24 기=-5 KRW | 제 23 기=-80 KRW
- statement=포괄손익계산서 | account=중단영업기본및희석주당이익(손실) | account_id=ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations | 제 25 기=- KRW | 제 24 기=-2 KRW | 제 23 기=-43 KRW
- statement=포괄손익계산서 | account=금융원가 | account_id=ifrs-full_FinanceCosts | 제 25 기=1,573,058,889 KRW | 제 24 기=3,116,357,376 KRW | 제 23 기=1,475,235,119 KRW
- statement=포괄손익계산서 | account=이자비용 | account_id=dart_InterestExpenseFinanceExpense | 제 25 기=113,652,536 KRW | 제 24 기=401,371,746 KRW | 제 23 기=882,256,700 KRW
- statement=포괄손익계산서 | account=사채상환손실 | account_id=dart_LossesFromRedemptionOfBondsFinancialExpense | 제 25 기=- KRW | 제 24 기=- KRW | 제 23 기=355,656 KRW
- statement=포괄손익계산서 | account=외환차손 | account_id=dart_LossesOnForeignCurrencyTransactionsFiancialExpense | 제 25 기=1,000,283,656 KRW | 제 24 기=1,130,594,084 KRW | 제 23 기=512,091,979 KRW
- statement=포괄손익계산서 | account=외화환산손실 | account_id=dart_LossesOnForeignExchangeTranslationsFinancialExpense | 제 25 기=121,808,845 KRW | 제 24 기=223,458,369 KRW | 제 23 기=80,530,784 KRW
- statement=포괄손익계산서 | account=파생상품평가손실 | account_id=dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense | 제 25 기=337,313,852 KRW | 제 24 기=1,360,933,177 KRW | 제 23 기=- KRW
- statement=포괄손익계산서 | account=금융수익 | account_id=ifrs-full_FinanceIncome | 제 25 기=2,210,148,594 KRW | 제 24 기=1,959,121,420 KRW | 제 23 기=1,169,471,352 KRW
- statement=포괄손익계산서 | account=사채상환이익 | account_id=dart_GainsFromRedemptionOfBondsFinancialIncome | 제 25 기=146,045,423 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=포괄손익계산서 | account=외환차익 | account_id=dart_GainsOnForeignCurrencyTransactionsFiancialIncome | 제 25 기=1,073,277,894 KRW | 제 24 기=1,159,951,875 KRW | 제 23 기=687,061,126 KRW
- statement=포괄손익계산서 | account=외화환산이익 | account_id=dart_GainsOnForeignExchangeTranslationsFinancialIncome | 제 25 기=25,129,242 KRW | 제 24 기=263,583,858 KRW | 제 23 기=28,946,987 KRW
- statement=포괄손익계산서 | account=파생상품평가이익 | account_id=dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome | 제 25 기=761,615,309 KRW | 제 24 기=464,814,348 KRW | 제 23 기=438,374,319 KRW
- statement=포괄손익계산서 | account=이자수익 | account_id=dart_InterestIncomeFinanceIncome | 제 25 기=204,080,726 KRW | 제 24 기=70,771,339 KRW | 제 23 기=15,088,920 KRW
- statement=포괄손익계산서 | account=매출총이익 | account_id=ifrs-full_GrossProfit | 제 25 기=3,750,219,060 KRW | 제 24 기=4,958,935,557 KRW | 제 23 기=2,943,237,855 KRW
- statement=포괄손익계산서 | account=법인세비용(수익) | account_id=ifrs-full_IncomeTaxExpenseContinuingOperations | 제 25 기=- KRW | 제 24 기=-3026367 KRW | 제 23 기=5,735,317 KRW
- statement=포괄손익계산서 | account=기타포괄손익 | account_id=ifrs-full_OtherComprehensiveIncome | 제 25 기=-339521215 KRW | 제 24 기=33,997,775 KRW | 제 23 기=361,124,907 KRW
- statement=포괄손익계산서 | account=당기손익으로 재분류될 수 있는 항목(세후기타포괄손익) | account_id=ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax | 제 25 기=-86971143 KRW | 제 24 기=15,931,195 KRW | 제 23 기=319,134,991 KRW
